2026-06-18 17:54:25 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 18:21:16 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 18:21:27 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 18:21:37 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 18:21:48 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 18:30:48 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 18:34:44 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 18:34:54 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 18:35:03 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 18:35:13 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 18:35:23 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 18:35:33 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 18:35:43 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 18:35:56 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 18:36:06 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 18:36:17 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 18:36:26 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 18:36:38 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 18:36:48 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 18:36:59 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 18:37:09 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 18:46:11 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:01:32 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:01:41 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:01:53 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:02:03 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:02:12 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:02:23 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:02:33 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:02:45 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:02:55 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:03:06 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:03:16 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:03:27 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:03:37 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:03:48 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:03:58 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:12:57 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:17:36 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=1
2026-06-18 19:17:36 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=2
2026-06-18 19:17:36 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=3
2026-06-18 19:17:36 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=4
2026-06-18 19:17:36 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=5
2026-06-18 19:17:36 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=6
2026-06-18 19:17:36 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=7
2026-06-18 19:17:36 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=8
2026-06-18 19:17:36 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=9
2026-06-18 19:17:36 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=10
2026-06-18 19:17:47 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:17:47 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=11
2026-06-18 19:17:56 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=12
2026-06-18 19:17:56 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=13
2026-06-18 19:17:56 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=14
2026-06-18 19:17:56 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=15
2026-06-18 19:17:56 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=16
2026-06-18 19:17:56 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=17
2026-06-18 19:19:06 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=1
2026-06-18 19:19:06 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=2
2026-06-18 19:19:06 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=3
2026-06-18 19:19:06 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=4
2026-06-18 19:19:06 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=5
2026-06-18 19:19:06 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=6
2026-06-18 19:19:06 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=7
2026-06-18 19:19:06 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=8
2026-06-18 19:19:06 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=9
2026-06-18 19:19:06 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=10
2026-06-18 19:19:17 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:19:17 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=11
2026-06-18 19:19:27 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:19:27 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=12
2026-06-18 19:19:38 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:19:38 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=13
2026-06-18 19:19:47 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:19:47 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=14
2026-06-18 19:19:57 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:19:57 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=15
2026-06-18 19:20:06 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=16
2026-06-18 19:20:06 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=17
2026-06-18 19:20:40 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=1
2026-06-18 19:20:40 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=2
2026-06-18 19:20:40 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=3
2026-06-18 19:20:40 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=4
2026-06-18 19:20:40 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=5
2026-06-18 19:20:40 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=6
2026-06-18 19:20:40 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=7
2026-06-18 19:20:40 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=8
2026-06-18 19:20:40 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=9
2026-06-18 19:20:40 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=10
2026-06-18 19:20:52 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:20:52 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=11
2026-06-18 19:21:03 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:21:03 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=12
2026-06-18 19:21:12 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:21:12 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=13
2026-06-18 19:21:22 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:21:22 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=14
2026-06-18 19:21:32 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:21:32 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=15
2026-06-18 19:21:42 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:21:42 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=16
2026-06-18 19:21:54 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:21:54 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=17
2026-06-18 19:22:04 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:22:15 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:22:26 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:22:36 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:22:47 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:22:58 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:23:08 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:23:18 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:32:17 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:32:17 | ERROR    | LLMClassification | Error parsing model response
Traceback (most recent call last):
  File "/home/aymen/Desktop/my_work/voyverse/src/voyverse/ingest/process/llm_classification.py", line 48, in classify
    return LlmOutputList.model_validate_json(raw_response)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/aymen/Desktop/my_work/voyverse/.venv/lib/python3.12/site-packages/pydantic/main.py", line 782, in model_validate_json
    return cls.__pydantic_validator__.validate_json(
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
pydantic_core._pydantic_core.ValidationError: 1 validation error for LlmOutputList
  Invalid JSON: EOF while parsing a string at line 1908 column 57 [type=json_invalid, input_value='{\n"root": [{"label": "a...son": "The descriptions', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/json_invalid
2026-06-18 19:32:29 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:32:29 | WARNING  | LLMClassification | Unexpected result type received from the model. Expected LlmOutputList but got a different type.<class 'list'>
2026-06-18 19:41:44 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=1
2026-06-18 19:41:44 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=2
2026-06-18 19:41:44 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=3
2026-06-18 19:41:44 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=4
2026-06-18 19:41:44 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=5
2026-06-18 19:41:44 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=6
2026-06-18 19:41:44 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=7
2026-06-18 19:41:44 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=8
2026-06-18 19:41:44 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=9
2026-06-18 19:41:44 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=10
2026-06-18 19:41:56 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:41:56 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=11
2026-06-18 19:42:05 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:42:05 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=12
2026-06-18 19:42:15 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:42:15 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=13
2026-06-18 19:42:25 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:42:25 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=14
2026-06-18 19:42:36 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:42:36 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=15
2026-06-18 19:42:46 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:42:57 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:43:08 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:43:20 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:43:30 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:43:39 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:43:51 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:44:01 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:44:11 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:44:22 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:47:40 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=1
2026-06-18 19:47:53 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:50:16 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=1
2026-06-18 19:50:29 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:53:14 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=1
2026-06-18 19:53:27 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 19:53:27 | INFO     | LLMClassification | Completed all classification tasks | results=[LlmOutput(label=<ValidLabel.APPLICATION: 'application'>, reason='The text describes a system focused on orchestration and workflow management, which is a core function of an application.', id='attack-pattern--c02f812d-59cc-5366-b1aa-7eb05154b772'), LlmOutput(label=<ValidLabel.MODEL: 'model'>, reason='The text discusses machine learning components, data training, and inference serving, aligning with the model layer.', id='attack-pattern--518338b9-9239-5e02-95f5-146bc758520f'), LlmOutput(label=<ValidLabel.INFRASTRUCTURE: 'infrastructure'>, reason='The text mentions data processing pipelines, ETL, and distributed computing, which are fundamental to infrastructure.', id='attack-pattern--02ea7626-0eec-5a4b-98ff-b3f21733b783'), LlmOutput(label=<ValidLabel.DATA_SOURCES: 'data_sources'>, reason='The text highlights the importance of data sources like research papers, repositories, and blogs, which are crucial for data-driven systems.', id='attack-pattern--88a794e9-fa8c-5185-a677-bf476cd8890b'), LlmOutput(label=<ValidLabel.UI: 'ui'>, reason='The text describes a dashboard, which is a UI element.', id='attack-pattern--4f36677b-3ba6-5556-9eba-0a2311796803'), LlmOutput(label=<ValidLabel.APPLICATION: 'application'>, reason='The text describes a system module that validates and loads third-party custom processing hooks, which is a key function of an application.', id='attack-pattern--a8393765-c78b-5bd3-8f92-74579e8f5a9f'), LlmOutput(label=<ValidLabel.MODEL: 'model'>, reason='The text discusses the creation of proxy AI models, which is a model layer function.', id='attack-pattern--bbffbb39-c270-5822-8786-7bbab1a43dc3'), LlmOutput(label=<ValidLabel.INFRASTRUCTURE: 'infrastructure'>, reason='The text describes the use of Apache Spark for data cleaning and filtering, which is an infrastructure component.', id='attack-pattern--cf1a7a78-0509-59a6-a8a4-35d9e1e966a4'), LlmOutput(label=<ValidLabel.DATA_SOURCES: 'data_sources'>, reason='The text emphasizes the importance of data sources, including research papers, repositories, and blogs, which are crucial for data-driven systems.', id='attack-pattern--8eb979a1-1e5a-5955-8a7d-df82ecb14088'), LlmOutput(label=<ValidLabel.MODEL: 'model'>, reason='The text discusses the creation of proxy AI models, which is a model layer function.', id='attack-pattern--deca63a5-2a52-54ea-abe5-2cd7089d46e4'), LlmOutput(label=<ValidLabel.DATA_SOURCES: 'data_sources'>, reason='The text discusses the use of public datasets, which are a key data source for AI models.', id=None), LlmOutput(label=<ValidLabel.MODEL: 'model'>, reason='The text discusses the creation of proxy AI models, which is a model layer function.', id=None), LlmOutput(label=<ValidLabel.DATA_SOURCES: 'data_sources'>, reason='The text discusses the use of public datasets, which are a key data source for AI models.', id=None)]
2026-06-18 20:06:31 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=1
2026-06-18 20:06:42 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 20:06:42 | INFO     | LLMClassification | Completed all classification tasks | results=[LlmOutput(label=<ValidLabel.APPLICATION: 'application'>, reason='The text describes a system focused on orchestration and workflow management, which is a core function of an application.', id='attack-pattern--c02f812d-59cc-5366-b1aa-7eb05154b772'), LlmOutput(label=<ValidLabel.MODEL: 'model'>, reason='The text discusses machine learning components, data training, and inference serving, aligning with the model layer.', id='attack-pattern--518338b9-9239-5e02-95f5-146bc758520f'), LlmOutput(label=<ValidLabel.INFRASTRUCTURE: 'infrastructure'>, reason='The text mentions data processing pipelines, ETL, and distributed computing, which are fundamental to infrastructure.', id='attack-pattern--02ea7626-0eec-5a4b-98ff-b3f21733b783'), LlmOutput(label=<ValidLabel.DATA_SOURCES: 'data_sources'>, reason='The text highlights the importance of data sources like research papers, repositories, and blogs, which are crucial for data-driven systems.', id='attack-pattern--88a794e9-fa8c-5185-a677-bf476cd8890b'), LlmOutput(label=<ValidLabel.UI: 'ui'>, reason='The text describes a dashboard, which is a UI element.', id='attack-pattern--4f36677b-3ba6-5556-9eba-0a2311796803'), LlmOutput(label=<ValidLabel.APPLICATION: 'application'>, reason='The text describes a system module that validates and loads third-party custom processing hooks, which is a key function of an application.', id='attack-pattern--a8393765-c78b-5bd3-8f92-74579e8f5a9f'), LlmOutput(label=<ValidLabel.MODEL: 'model'>, reason='The text discusses the creation of proxy AI models, which is a model layer function.', id='attack-pattern--bbffbb39-c270-5822-8786-7bbab1a43dc3'), LlmOutput(label=<ValidLabel.INFRASTRUCTURE: 'infrastructure'>, reason='The text describes the use of Apache Spark for data cleaning and filtering, which is an infrastructure component.', id='attack-pattern--cf1a7a78-0509-59a6-a8a4-35d9e1e966a4'), LlmOutput(label=<ValidLabel.DATA_SOURCES: 'data_sources'>, reason='The text emphasizes the importance of data sources, including research papers, repositories, and blogs, which are crucial for data-driven systems.', id='attack-pattern--8eb979a1-1e5a-5955-8a7d-df82ecb14088'), LlmOutput(label=<ValidLabel.MODEL: 'model'>, reason='The text discusses the creation of proxy AI models, which is a model layer function.', id='attack-pattern--deca63a5-2a52-54ea-abe5-2cd7089d46e4')]
2026-06-18 20:08:49 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=1
2026-06-18 20:09:00 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 20:09:00 | INFO     | LLMClassification | Completed all classification tasks | results=[LlmOutput(label=<ValidLabel.APPLICATION: 'application'>, reason='The text describes a system focused on orchestration and workflow management, which is a core function of an application.', id='attack-pattern--c02f812d-59cc-5366-b1aa-7eb05154b772'), LlmOutput(label=<ValidLabel.MODEL: 'model'>, reason='The text discusses machine learning components, data training, and inference serving, aligning with the model layer.', id='attack-pattern--518338b9-9239-5e02-95f5-146bc758520f'), LlmOutput(label=<ValidLabel.INFRASTRUCTURE: 'infrastructure'>, reason='The text mentions data processing pipelines, ETL, and distributed computing, which are fundamental to infrastructure.', id='attack-pattern--02ea7626-0eec-5a4b-98ff-b3f21733b783'), LlmOutput(label=<ValidLabel.DATA_SOURCES: 'data_sources'>, reason='The text highlights the importance of data sources like research papers, repositories, and blogs, which are crucial for data-driven systems.', id='attack-pattern--88a794e9-fa8c-5185-a677-bf476cd8890b'), LlmOutput(label=<ValidLabel.UI: 'ui'>, reason='The text describes a dashboard, which is a UI element.', id='attack-pattern--4f36677b-3ba6-5556-9eba-0a2311796803'), LlmOutput(label=<ValidLabel.APPLICATION: 'application'>, reason='The text describes a system module that validates and loads third-party custom processing hooks, which is a key function of an application.', id='attack-pattern--a8393765-c78b-5bd3-8f92-74579e8f5a9f'), LlmOutput(label=<ValidLabel.MODEL: 'model'>, reason='The text discusses the creation of proxy AI models, which is a model layer function.', id='attack-pattern--bbffbb39-c270-5822-8786-7bbab1a43dc3'), LlmOutput(label=<ValidLabel.INFRASTRUCTURE: 'infrastructure'>, reason='The text describes the use of Apache Spark for data cleaning and filtering, which is an infrastructure component.', id='attack-pattern--cf1a7a78-0509-59a6-a8a4-35d9e1e966a4'), LlmOutput(label=<ValidLabel.DATA_SOURCES: 'data_sources'>, reason='The text emphasizes the importance of data sources, including research papers, repositories, and blogs, which are crucial for data-driven systems.', id='attack-pattern--8eb979a1-1e5a-5955-8a7d-df82ecb14088'), LlmOutput(label=<ValidLabel.MODEL: 'model'>, reason='The text discusses the creation of proxy AI models, which is a model layer function.', id='attack-pattern--deca63a5-2a52-54ea-abe5-2cd7089d46e4')]
2026-06-18 20:09:42 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=1
2026-06-18 20:09:54 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 20:09:54 | INFO     | LLMClassification | Completed all classification tasks | results=[LlmOutput(label=<ValidLabel.APPLICATION: 'application'>, reason='The text describes a system focused on orchestration and workflow management, which is a core function of an application.', id='attack-pattern--c02f812d-59cc-5366-b1aa-7eb05154b772'), LlmOutput(label=<ValidLabel.MODEL: 'model'>, reason='The text discusses machine learning components, data training, and inference serving, aligning with the model layer.', id='attack-pattern--518338b9-9239-5e02-95f5-146bc758520f'), LlmOutput(label=<ValidLabel.INFRASTRUCTURE: 'infrastructure'>, reason='The text mentions data processing pipelines, ETL, and distributed computing, which are fundamental to infrastructure.', id='attack-pattern--02ea7626-0eec-5a4b-98ff-b3f21733b783'), LlmOutput(label=<ValidLabel.DATA_SOURCES: 'data_sources'>, reason='The text highlights the importance of data sources like research papers, repositories, and blogs, which are crucial for data-driven systems.', id='attack-pattern--88a794e9-fa8c-5185-a677-bf476cd8890b'), LlmOutput(label=<ValidLabel.UI: 'ui'>, reason='The text describes a dashboard, which is a UI element.', id='attack-pattern--4f36677b-3ba6-5556-9eba-0a2311796803'), LlmOutput(label=<ValidLabel.APPLICATION: 'application'>, reason='The text describes a system module that validates and loads third-party custom processing hooks, which is a key function of an application.', id='attack-pattern--a8393765-c78b-5bd3-8f92-74579e8f5a9f'), LlmOutput(label=<ValidLabel.MODEL: 'model'>, reason='The text discusses the creation of proxy AI models, which is a model layer function.', id='attack-pattern--bbffbb39-c270-5822-8786-7bbab1a43dc3'), LlmOutput(label=<ValidLabel.INFRASTRUCTURE: 'infrastructure'>, reason='The text describes the use of Apache Spark for data cleaning and filtering, which is an infrastructure component.', id='attack-pattern--cf1a7a78-0509-59a6-a8a4-35d9e1e966a4'), LlmOutput(label=<ValidLabel.DATA_SOURCES: 'data_sources'>, reason='The text emphasizes the importance of data sources, including research papers, repositories, and blogs, which are crucial for data-driven systems.', id='attack-pattern--8eb979a1-1e5a-5955-8a7d-df82ecb14088'), LlmOutput(label=<ValidLabel.MODEL: 'model'>, reason='The text discusses the creation of proxy AI models, which is a model layer function.', id='attack-pattern--deca63a5-2a52-54ea-abe5-2cd7089d46e4')]
2026-06-18 23:14:32 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=1
2026-06-18 23:14:32 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=2
2026-06-18 23:14:32 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=3
2026-06-18 23:14:32 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=4
2026-06-18 23:14:32 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=5
2026-06-18 23:14:43 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 23:14:53 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 23:15:02 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 23:15:13 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 23:15:23 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 23:18:59 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=1
2026-06-18 23:18:59 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=2
2026-06-18 23:18:59 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=3
2026-06-18 23:18:59 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=4
2026-06-18 23:18:59 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=5
2026-06-18 23:19:10 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 23:19:20 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 23:19:30 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 23:19:40 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 23:19:50 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 23:23:49 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=1
2026-06-18 23:23:49 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=2
2026-06-18 23:23:49 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=3
2026-06-18 23:23:49 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=4
2026-06-18 23:23:49 | INFO     | LLMClassification | starting to Classify  chunk | chunk_number=5
2026-06-18 23:24:00 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 23:24:09 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 23:24:19 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 23:24:30 | INFO     | LLMClassification | finish classifying batch  | response=10
2026-06-18 23:24:40 | INFO     | LLMClassification | finish classifying batch  | response=10
